product_name,page_url,technical_sheet_url,buy_url,calculator_url,summary_public,finish,recommended_use,surface_targets,benefit_tags,application_methods,related_products,coverage_ranges,drying_times,dilution_hints,presentations,inventory_match_name,inventory_match_ref,inventory_match_score,inventory_match_source,canonical_family_from_inventory
Pintura Primer Anticorrosivo 513,https://www.pintuco.com.co/productos/pintura-primer-anticorrosivo-513/,https://www.pintuco.com.co/wp-content/uploads/2019/12/ft-primer-anticorrosivo-513.pdf,https://tienda.pintuco.com/,,"Primer Anticorrosivo 513 es un producto de recubrimiento anticorrosivo alquídico, de rápido secado, excelente adherencia con ideal para proteger estructuras metálicas en general, que vayan a estar expuestas a ambientes industriales y marinos de agresividad intermedia.",,"Primer Anticorrosivo 513 es un producto de recubrimiento anticorrosivo alquídico, de rápido secado, excelente adherencia con ideal para proteger estructuras metálicas en general, que vayan a estar expuestas a ambientes industriales y marinos de agresividad intermedia.",metal,anticorrosivo | alto_cubrimiento | rapido_secado,,,,,,1/4 galón | galón,PINTURA VARIOS,56252453,85.5,db:vw_inventario_agente,PINTURA VARIOS
Pintulaca Sistema Nitro de Alto Desempeño/Masilla 1K,https://www.pintuco.com.co/productos/pintulaca-sistema-nitro-de-alto-desempeno-masilla-1k/,,https://tienda.pintuco.com/,,,,,,,,,,,,,AUXILIO DE TRANSPORTE,52052701,85.5,db:vw_inventario_agente,AUXILIO DE TRANSPORTE
Pintulaca Sistema Nitro de Alto Desempeño / Colores Básicos,https://www.pintuco.com.co/productos/pintulaca-sistema-nitro-de-alto-desempeno-colores-basicos/,https://www.pintuco.com.co/download/51385/?tmstv=1672344804,https://tienda.pintuco.com/,,,,,,,,,,,,,AUXILIO DE TRANSPORTE,52052701,85.5,db:vw_inventario_agente,AUXILIO DE TRANSPORTE
Aluminios para Metalizados Pintulaca,https://www.pintuco.com.co/productos/pintulaca-sistema-nitro-de-alto-desempeno-colores-basicos-para-obtener-metalizados/,https://www.pintuco.com.co/download/51383/?tmstv=1672344804,https://tienda.pintuco.com/,,"Lacas nitro de secado al aire que se caracterizan por su excelente acabado y brillo, resistentes a la intemperie, mayor rendimiento con menos manos de aplicación y fácil de aplicar en todo tipo de ambientes.",,"Lacas nitro de secado al aire que se caracterizan por su excelente acabado y brillo, resistentes a la intemperie, mayor rendimiento con menos manos de aplicación y fácil de aplicar en todo tipo de ambientes.",exterior,rapido_secado | durabilidad,,,,,,1/4 galón | galón,"DISCO PARA CONCRETO 7""",56254161,85.5,db:vw_inventario_agente,"DISCO PARA CONCRETO """
Pintura Poliuretano / Single Stage S600,https://www.pintuco.com.co/productos/pintura-poliuretano-single-stage-s600/,https://www.pintuco.com.co/wp-content/uploads/2019/12/ft-poliuretano-serie-600-mate-1.pdf,https://tienda.pintuco.com/,,,,,,,,,,,,,POLIURETANO 2K NEGRO GAL,10014937,85.5,db:vw_inventario_agente,POLIURETANO 2K NEGRO GAL
Masilla Poliéster Duretán 19167,https://www.pintuco.com.co/productos/masilla-poliester-duretan-19167/,https://www.pintuco.com.co/wp-content/uploads/2019/12/FT-Masilla-Duretan-19167.pdf,https://tienda.pintuco.com/,,"Masilla Poliéster Duretán 19167 de dos 2 componentes con muy buen poder de relleno y excelente lijabilidad, secado rápido, muy buen desbaste y tersura que ofrece un excelente acabado que no requiere uso de masilla de rectificación.",,"Masilla Poliéster Duretán 19167 de dos 2 componentes con muy buen poder de relleno y excelente lijabilidad, secado rápido, muy buen desbaste y tersura que ofrece un excelente acabado que no requiere uso de masilla de rectificación.",madera,rapido_secado,,,,,,1/4 galón | galón,MASILLA BOLSA,56254852,85.5,db:vw_inventario_agente,MASILLA BOLSA
Masilla poliéster P2500,https://www.pintuco.com.co/productos/masilla-poliester-p2500/,https://www.pintuco.com.co/wp-content/uploads/2019/12/FT-Masilla-poliester-P2500.pdf,https://tienda.pintuco.com/,,"Masilla poliéster P2500 es un producto de dos (2) componentes con buen poder de relleno y fácil lijabilidad, recomendada para rellenar o nivelar hendiduras e imperfecciones.",,"Masilla poliéster P2500 es un producto de dos (2) componentes con buen poder de relleno y fácil lijabilidad, recomendada para rellenar o nivelar hendiduras e imperfecciones.",madera,,,,,,,1/4 galón | galón,MEG MASILLA POLIESTER P2500 AC 1.1KG,5864066,90.0,db:vw_inventario_agente,MEG MASILLA POLIESTER P2500 AC
Ajustador P502,https://www.pintuco.com.co/productos/ajustador-p502/,https://www.pintuco.com.co/wp-content/uploads/2019/12/ft-thinner-pu-ps-p502-2.pdf,https://tienda.pintuco.com/,,"Ajustador P502 es una mezcla de solventes, formulados con el fin de obtener un excelente poder de dilución con rata de evaporación rápida.",,"Ajustador P502 es una mezcla de solventes, formulados con el fin de obtener un excelente poder de dilución con rata de evaporación rápida.",exterior,impermeable,,ajustador,,,Contiene instrucciones de dilución en la página pública,1/4 galón | galón,AJUSTADOR NM P502 GL,51018875,95.0,db:vw_inventario_agente,AJUSTADOR NM P502 GL
Thinner para Poliuretano y Poliéster Ref. 21106,https://www.pintuco.com.co/productos/thinner-para-poliuretano-y-poliester-ref-21106/,https://www.pintuco.com.co/wp-content/uploads/2019/12/ft-thinner-pu-ps-21106-1.pdf,https://tienda.pintuco.com/,,Thinner para Poliuretano y Poliéster Ref.,,Thinner para Poliuretano y Poliéster Ref.,exterior,impermeable,,,,,Contiene instrucciones de dilución en la página pública,galón,THINER PARA POLIURETANOS,51008369,86.25,db:vw_inventario_agente,THINER PARA POLIURETANOS
Ajustador Varsol 21132,https://www.pintuco.com.co/productos/ajustador-alifatico-ref-21132/,https://www.pintuco.com.co/download/51234/?tmstv=1672344801,https://tienda.pintuco.com/,,Ajustador alifático varsol 21132 solvente alifático tipo Varsol.,,Ajustador alifático varsol 21132 solvente alifático tipo Varsol.,exterior,,,ajustador,,,,1/4 galón | galón | 5 galones,PQ AJUSTADOR VARSOL 21132 0.95L,5891367,95.0,db:vw_inventario_agente,AJUSTADOR VARSOL
