product_name,page_url,technical_sheet_url,buy_url,calculator_url,summary_public,finish,recommended_use,surface_targets,benefit_tags,application_methods,related_products,coverage_ranges,drying_times,dilution_hints,presentations,inventory_match_name,inventory_match_ref,inventory_match_score,inventory_match_source,canonical_family_from_inventory,decision,decision_note
Wood Stain / Impregnante para maderas,https://www.pintuco.com.co/productos/wood-stain-impregnante-para-maderas/,https://www.pintuco.com.co/download/48760/?tmstv=1672344796,https://tienda.pintuco.com/,,"Wood Stain es un impregnante para presellar y colorear muebles y artículos en madera sólida, chapillas, tableros aglomerados (partícula-fibra) y/o tableros contrachapados con el fin de darle uniformidad al color e imitar otros tipos de maderas.",Semi mate,"Wood Stain es un impregnante para presellar y colorear muebles y artículos en madera sólida, chapillas, tableros aglomerados (partícula-fibra) y/o tableros contrachapados con el fin de darle uniformidad al color e imitar otros tipos de maderas.",madera | exterior,,,,,,,galón,"DISCO PARA CONCRETO 7""",56254161,85.5,db:vw_inventario_agente,"DISCO PARA CONCRETO """,cuarentena,Falta señal de familia/marca suficientemente fuerte
Rodillo profesional,https://www.pintuco.com.co/productos/rodillo-profesional/,,https://tienda.pintuco.com/,,,,,,,,,,,,,RODILLO ESPUMA PROFESIONAL 9,51000921,95.0,db:vw_inventario_agente,RODILLO ESPUMA PROFESIONAL,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Plastiprotector uso ligero,https://www.pintuco.com.co/productos/plastiprotector-uso-ligero/,,https://tienda.pintuco.com/,,,,,,,,,,,,,TOOLS PLASTIPROTECTOR USO LIGERO,6447602,95.0,db:vw_inventario_agente,TOOLS PLASTIPROTECTOR USO LIGERO,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Altas Temperaturas 902,https://www.pintuco.com.co/productos/corrotec-altas-temperaturas-902-150c-400c/,https://www.pintuco.com.co/wp-content/uploads/2019/12/FT-ALTAS-TEMPERATURAS-902.pdf,https://tienda.pintuco.com/,,"Pintura altas temperaturas 902 (150°c-400°c) es una pintura a base de silicona y grafito, de excelente adherencia, flexibilidad y resistencia a temperaturas hasta 400°C en seco.",,"Pintura altas temperaturas 902 (150°c-400°c) es una pintura a base de silicona y grafito, de excelente adherencia, flexibilidad y resistencia a temperaturas hasta 400°C en seco.",,,,,,,,galon,ALTAS TEMPERATURAS 902 UEA800/3.7L/AA7,5890597,90.0,db:vw_inventario_agente,ALTAS TEMPERATURAS,cuarentena,Falta señal de familia/marca suficientemente fuerte
Pala madera estándar,https://www.pintuco.com.co/productos/pala-madera-estandar/,,https://tienda.pintuco.com/,,,,,,,,,,,,,MH TINTES PARA MADERA AMARILL 7420 0.95L,5891261,85.5,db:vw_inventario_agente,MH TINTES PARA MADERA AMARILL,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Mascarilla económica,https://www.pintuco.com.co/productos/mascarilla-economica/,,https://tienda.pintuco.com/,,,,,,,,,,,,,MASCARILLA ECONOMICA,6447600,100.0,db:vw_inventario_agente,MASCARILLA ECONOMICA,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Madetec aqua eco P-100,https://www.pintuco.com.co/productos/madetec-aqua-p-100/,https://www.pintuco.com.co/download/63040/?tmstv=1672344832,https://tienda.pintuco.com/,,"Madetec Aqua es un producto base agua de rápido secado, es 2 en 1, porque sella y da acabado.",,"Madetec Aqua es un producto base agua de rápido secado, es 2 en 1, porque sella y da acabado.",madera | interior | exterior,impermeable | rapido_secado | durabilidad,,,,,,1/4 galón | galón | 5 galones,MADETEC BO 2K SELLA ALTA TRANS 28119 50G,10388059,85.5,db:vw_inventario_agente,MADETEC BO 2K SELLA ALTA TRANS,cuarentena,Falta señal de familia/marca suficientemente fuerte
Lentes de seguridad,https://www.pintuco.com.co/productos/lentes-de-seguridad/,,https://tienda.pintuco.com/,,,,,,,,,,,,,PINTUCO TOOLS LENTES DE SEGURIDAD,6447601,90.0,db:vw_inventario_agente,PINTUCO TOOLS LENTES DE SEGURIDAD,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Koverlac Masilla 1K 244/185,https://www.pintuco.com.co/productos/koverlac-masilla-1k/,https://www.pintuco.com.co/wp-content/uploads/2019/12/ft-masilla-koverlac1k-244-185.pdf,https://tienda.pintuco.com/,,Koverlac Masilla 1K es una masilla monocomponente tipo nitrocelulósico.,,Koverlac Masilla 1K es una masilla monocomponente tipo nitrocelulósico.,madera,,,,,,,1/4 galón | galón,MASILLA BOLSA,56254852,85.5,db:vw_inventario_agente,MASILLA BOLSA,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Indicador de temperatura verde 13306,https://www.pintuco.com.co/productos/indicador-de-temperatura-verde-13306/,https://www.pintuco.com.co/wp-content/uploads/2019/12/ft-indicador-temperatura-verde-13306.pdf,https://tienda.pintuco.com/,,Indicador de temperatura verde 13306 es una pintura formulada con resina silicona y pigmentos especiales que cambian irreversiblemente de color.,,Indicador de temperatura verde 13306 es una pintura formulada con resina silicona y pigmentos especiales que cambian irreversiblemente de color.,metal,,,,,,,galon,AUXILIO DE TRANSPORTE,52052701,85.5,db:vw_inventario_agente,AUXILIO DE TRANSPORTE,cuarentena,Falta señal de familia/marca suficientemente fuerte
